test_collection,file_path,should_fail,known_status,known_failure,known_failure_description
SYSBIO_BIOMD,BIOMD0000000100.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000101.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000102.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000103.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000104.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000105.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000106.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000107.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000108.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000109.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000110.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000111.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000112.omex,,,,
SYSBIO_BIOMD,BIOMD0000000113.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000114.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000115.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000116.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000117.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000118.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000119.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000120.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000121.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000122.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000123.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000124.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000125.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000126.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000127.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000128.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000129.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000130.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000131.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000132.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000133.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000134.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000135.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000136.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000137.omex,,,,
SYSBIO_BIOMD,BIOMD0000000138.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000139.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000140.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000141.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000142.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000143.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000144.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000145.omex,,,,
SYSBIO_BIOMD,BIOMD0000000146.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000147.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000148.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000149.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000150.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000151.omex,,,,
SYSBIO_BIOMD,BIOMD0000000152.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000153.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000154.omex,,,,
SYSBIO_BIOMD,BIOMD0000000155.omex,,,,
SYSBIO_BIOMD,BIOMD0000000156.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000157.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000158.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000159.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000160.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000161.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000162.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000163.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000164.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000165.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000166.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000167.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000168.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000169.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000170.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000171.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000172.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000173.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000174.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000175.omex,,,,
SYSBIO_BIOMD,BIOMD0000000176.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000177.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000178.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000179.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000180.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000181.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000182.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000183.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000184.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000185.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000186.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000187.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000188.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000189.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000190.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000191.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000192.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000193.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000194.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000195.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000196.omex,,,,
SYSBIO_BIOMD,BIOMD0000000197.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000198.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000199.omex,,,,
SYSBIO_BIOMD,BIOMD0000000200.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000201.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000202.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000203.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000204.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000205.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000206.omex,,,,
SYSBIO_BIOMD,BIOMD0000000207.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000208.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000209.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000210.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000211.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000212.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000213.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000214.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000215.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000216.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000217.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000218.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000219.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000220.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000221.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000222.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000223.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000224.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000225.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000226.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000227.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000228.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000229.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000230.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000231.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000232.omex,,,,
SYSBIO_BIOMD,BIOMD0000000233.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000234.omex,,,,
SYSBIO_BIOMD,BIOMD0000000235.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000236.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000237.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000238.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000239.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000240.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000241.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000242.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000243.omex,,PASS,,
SYSBIO_BIOMD,BIOMD0000000244.omex,,,,
SYSBIO_BIOMD,BIOMD0000000245.omex,,,,
